date,cases,deaths
0,1,0
1,1,0
2,1,0
3,2,0
4,3,0
5,5,0
6,5,0
7,5,0
8,5,0
9,6,0
10,7,0
11,8,0
12,11,0
13,11,0
14,11,0
15,12,0
16,12,0
17,12,0
18,12,0
19,12,0
20,13,0
21,13,0
22,14,0
23,15,0
24,15,0
25,15,0
26,15,0
27,25,0
28,25,0
29,25,0
30,27,0
31,30,0
32,30,0
33,30,0
34,43,0
35,45,0
36,60,0
37,60,0
38,65,0
39,70,1
40,88,3
41,104,6
42,125,10
43,161,12
44,228,12
45,311,15
46,428,19
47,547,22
48,748,26
49,1018,31
50,1263,37
51,1668,43
52,2224,50
53,2898,60
54,3600,68
55,4507,91
56,5905,116
57,8345,157
58,12413,203
59,17996,265
60,24532,343
61,33061,436
62,43499,546
63,53938,731
64,68537,990
65,85533,1275
66,102766,1649
67,123619,2134
68,142194,2486
69,163683,3073
70,188049,3911
71,214711,4841
72,244423,6232
73,276501,7121
74,311536,8499
75,336774,9655
76,366238,10959
77,397754,12956
78,429319,14803
79,463684,16674
80,496912,18712
81,528395,20575
82,555325,22056
83,580850,23606
84,607285,26080
85,637053,28582
86,668531,30704
87,699852,32914
